,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index
170,170,170,"we are cleared into the standard parking orbit, sir (nods) make it so.",data continued: picard,1.0,102.txt,"['We', 'cleared', 'standard', 'parking', 'orbit', 'sir', 'nods', 'Make']","['We', 'clear', 'standard', 'park', 'orbit', 'sir', 'nod', 'Make']","['We', 'clear', 'standard', 'park', 'orbit', 'sir', 'nod', 'Make']",8.0,0.3818,"['data', 'picard']",jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1
3944,3944,1532,"""the last outpost"" 8/7 60 (smiles) make it so ",star trek: act five close on picard picard ext.,6.0,107.txt,"['The', 'Last', 'Outpost', '87', '60', 'smiles', 'Make']","['The', 'Last', 'Outpost', '87', '60', 'smile', 'Make']","['The', 'Last', 'Outpost', '87', '60', 'smile', 'Make']",7.0,0.3612,"['picard', 'picard']",jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",6,7,7,"""Lonely Among Us""",41249.3,Cliff Bole,Teleplay: D. C. Fontana Story: Michael Halperin,"November?2,?1987?(1987-11-02)",12.1[1],6
6323,6323,60818,make it so!,riker,9.0,110.txt,['make'],['make'],['make'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",9,10,10,"""Hide and Q""",41590.5,Cliff Bole,Teleplay: C.J. Holland and Gene Roddenberry Story: C.J. Holland,"November?23,?1987?(1987-11-23)",11.0[1],9
8165,8165,3027,make it so!,picard,13.0,114.txt,['Make'],['Make'],['Make'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",13,14,14,"""Angel One""",41636.9,Michael Rhoades,Patrick Barry,"January?25,?1988?(1988-01-25)",11.4[1],13
8807,8807,3057,"make it so, mister la forge.",picard,14.0,115.txt,"['Make', 'Mister', 'La', 'Forge']","['Make', 'Mister', 'La', 'Forg']","['Make', 'Mister', 'La', 'Forg']",4.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",14,15,15,"""11001001""",41365.9,Paul Lynch,Maurice Hurley and Robert Lewin,"February?1,?1988?(1988-02-01)",10.7[1],14
8908,8908,29415,"on your mark as captain picard would say make it so, mister data.",data,14.0,115.txt,"['On', 'mark', 'As', 'Captain', 'Picard', 'would', 'say', 'make', 'Mister', 'Data']","['On', 'mark', 'As', 'Captain', 'Picard', 'would', 'say', 'make', 'Mister', 'Data']","['On', 'mark', 'As', 'Captain', 'Picard', 'would', 'say', 'make', 'Mister', 'Data']",10.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],14,15,15,"""11001001""",41365.9,Paul Lynch,Maurice Hurley and Robert Lewin,"February?1,?1988?(1988-02-01)",10.7[1],14
8909,8909,29416,"data hits the ""make it so"" buttons and ",data,14.0,115.txt,"['Data', 'hits', 'make', 'buttons']","['Data', 'hit', 'make', 'button']","['Data', 'hit', 'make', 'button']",4.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],14,15,15,"""11001001""",41365.9,Paul Lynch,Maurice Hurley and Robert Lewin,"February?1,?1988?(1988-02-01)",10.7[1],14
9240,9240,86808,make it so.,geordi,14.0,115.txt,['Make'],['Make'],['Make'],1.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",14,15,15,"""11001001""",41365.9,Paul Lynch,Maurice Hurley and Robert Lewin,"February?1,?1988?(1988-02-01)",10.7[1],14
10350,10350,61571,you make it sound poetic.,riker,16.0,117.txt,"['You', 'make', 'sound', 'poetic']","['You', 'make', 'sound', 'poetic']","['You', 'make', 'sound', 'poetic']",4.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",16,17,17,"""When the Bough Breaks""",41509.1,Kim Manners,Hannah Louise Shearer,"February?15,?1988?(1988-02-15)",10.2[1],16
12703,12703,4157,make it so.9,picard,21.0,122.txt,"['Make', 'so9']","['Make', 'so9']","['Make', 'so9']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",21,22,22,"""Symbiosis""",Unknown,Win Phelps,Teleplay: Robert Lewin & Richard Manning and Hans Beimler Story: Robert Lewin,"April?18,?1988?(1988-04-18)",10.8[1],21
15706,15706,5397,"make it so, number one.",picard,26.0,127.txt,"['Make', 'Number', 'One']","['Make', 'Number', 'One']","['Make', 'Number', 'One']",3.0,0.0772,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,27,1,"""The Child""",42073.1,Rob Bowman,Jaron Summers & Jon Povill and Maurice Hurley,"November?21,?1988?(1988-11-21)",10.9[2],26
16346,16346,5480,"make it so, data.",picard,27.0,128.txt,"['Make', 'Data']","['Make', 'Data']","['Make', 'Data']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",2,28,2,"""Where Silence Has Lease""",42193.6,Winrich Kolbe,Jack B. Sowards,"November?28,?1988?(1988-11-28)",10.3[2],27
