,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index,EnergizeCount
445,445,445,"energize in orbit, as a",picard,1.0,102.txt,"['Energize', 'orbit']","['Energ', 'orbit']","['Energ', 'orbit']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,1
1073,1073,59967,energize ,riker int.,1.0,102.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",1,1 2,1 2,"""Encounter at Farpoint""",41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry,"September?28,?1987?(1987-09-28)",15.7[1],1,1
1563,1563,59992,energize.,riker,2.0,103.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",2,3,3,"""The Naked Now""",41209.2,Paul Lynch,Teleplay: J. Michael Bingham Story: John D. F. Black and J. Michael Bingham,"October?5,?1987?(1987-10-05)",11.5[1],2,1
2042,2042,798,energize!,picard,3.0,104.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",3,4,4,"""Code of Honor""",41235.25,Russ Mayberry,Katharyn Powers and Michael Baron,"October?12,?1987?(1987-10-12)",9.5[1],3,1
2086,2086,842,energize.,picard,3.0,104.txt,['Energize'],['Energ'],['Energ'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",3,4,4,"""Code of Honor""",41235.25,Russ Mayberry,Katharyn Powers and Michael Baron,"October?12,?1987?(1987-10-12)",9.5[1],3,1
2950,2950,41529,(spoken) you may energize.,troi telepathic v.,4.0,105.txt,"['spoken', 'You', 'may', 'energize']","['spoken', 'You', 'may', 'energ']","['spoken', 'You', 'may', 'energ']",4.0,0.0,['troi'],lwaxana troi,Majel Barrett,"['TNG', 'DS9']",lwaxana troi,Federation Ambassador,Betazed,['Ambassador'],Betazoid,"['lwaxana', 'troi']",4,5,5,"""The Last Outpost""",41386.4,Richard Colla,Teleplay: Herbert Wright Story: Richard Krzmeien,"October?19,?1987?(1987-10-19)",8.9[1],4,1
4179,4179,60404,"(checking the others, then) energize!",riker,6.0,107.txt,"['checking', 'others', 'Energize']","['check', 'other', 'Energ']","['check', 'other', 'Energ']",3.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",6,7,7,"""Lonely Among Us""",41249.3,Cliff Bole,Teleplay: D. C. Fontana Story: Michael Halperin,"November?2,?1987?(1987-11-02)",12.1[1],6,1
5300,5300,1856,"transporter room, energize as picard, troi and rivan",picard effects angle (optical) beam out.55 ext.,8.0,109.txt,"['Transporter', 'Room', 'energize', 'Picard', 'Troi', 'Rivan']","['Transport', 'Room', 'energ', 'Picard', 'Troi', 'Rivan']","['Transport', 'Room', 'energ', 'Picard', 'Troi', 'Rivan']",6.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",8,9,9,"""The Battle""",41723.9,Rob Bowman,Teleplay: Herbert J. Wright Story: Larry Forrester,"November?16,?1987?(1987-11-16)",10.5[1],8,1
5905,5905,2103,(to chief) energize!,star trek: act two continued: picard,9.0,110.txt,"['Chief', 'Energize']","['Chief', 'Energ']","['Chief', 'Energ']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",9,10,10,"""Hide and Q""",41590.5,Cliff Bole,Teleplay: C.J. Holland and Gene Roddenberry Story: C.J. Holland,"November?23,?1987?(1987-11-23)",11.0[1],9,1
7312,7312,2597,(to the chief) energize.,picard,11.0,112.txt,"['Chief', 'Energize']","['Chief', 'Energ']","['Chief', 'Energ']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",11,12,12,"""The Big Goodbye""",41997.7,Joseph L. Scanlan,Tracy Torm?,"January?11,?1988?(1988-01-11)",11.5[1],11,1
