,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index,EngageCount
1677,1677,60106,"(continuing; into communicator) bridge, engage engines ",riker ext.,2.0,103.txt,"['continuing', 'communicator', 'Bridge', 'engage', 'engines']","['continu', 'commun', 'Bridg', 'engag', 'engin']","['continu', 'commun', 'Bridg', 'engag', 'engin']",5.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",2,3,3,"""The Naked Now""",41209.2,Paul Lynch,Teleplay: J. Michael Bingham Story: John D. F. Black and J. Michael Bingham,"October?5,?1987?(1987-10-05)",11.5[1],2,1
1682,1682,60111,engage ,riker ext.,2.0,103.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",2,3,3,"""The Naked Now""",41209.2,Paul Lynch,Teleplay: J. Michael Bingham Story: John D. F. Black and J. Michael Bingham,"October?5,?1987?(1987-10-05)",11.5[1],2,1
1899,1899,655,to engage in a friendly visit and open treaty negotiations to acquire this medicinal substance.,picard (v.o.),3.0,104.txt,"['engage', 'friendly', 'visit', 'open', 'treaty', 'negotiations', 'acquire', 'medicinal', 'substance']","['engag', 'friendli', 'visit', 'open', 'treati', 'negoti', 'acquir', 'medicin', 'substanc']","['engag', 'friendli', 'visit', 'open', 'treati', 'negoti', 'acquir', 'medicin', 'substanc']",9.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",3,4,4,"""Code of Honor""",41235.25,Russ Mayberry,Katharyn Powers and Michael Baron,"October?12,?1987?(1987-10-12)",9.5[1],3,1
2380,2380,60167,has permitted lieutenant natasha yar to engage in a fight to the death.,riker (v.o.),3.0,104.txt,"['permitted', 'Lieutenant', 'Natasha', 'Yar', 'engage', 'fight', 'death']","['permit', 'Lieuten', 'Natasha', 'Yar', 'engag', 'fight', 'death']","['permit', 'Lieuten', 'Natasha', 'Yar', 'engag', 'fight', 'death']",7.0,-0.7579,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",3,4,4,"""Code of Honor""",41235.25,Russ Mayberry,Katharyn Powers and Michael Baron,"October?12,?1987?(1987-10-12)",9.5[1],3,1
2398,2398,60185,engage ,riker ext.,3.0,104.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",3,4,4,"""Code of Honor""",41235.25,Russ Mayberry,Katharyn Powers and Michael Baron,"October?12,?1987?(1987-10-12)",9.5[1],3,1
2603,2603,979,engage.,picard,4.0,105.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",4,5,5,"""The Last Outpost""",41386.4,Richard Colla,Teleplay: Herbert Wright Story: Richard Krzmeien,"October?19,?1987?(1987-10-19)",8.9[1],4,1
2604,2604,980,tasha engages ,picard,4.0,105.txt,"['Tasha', 'engages']","['Tasha', 'engag']","['Tasha', 'engag']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",4,5,5,"""The Last Outpost""",41386.4,Richard Colla,Teleplay: Herbert Wright Story: Richard Krzmeien,"October?19,?1987?(1987-10-19)",8.9[1],4,1
3045,3045,60246,engage!,riker,4.0,105.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",4,5,5,"""The Last Outpost""",41386.4,Richard Colla,Teleplay: Herbert Wright Story: Richard Krzmeien,"October?19,?1987?(1987-10-19)",8.9[1],4,1
3327,3327,1227,engage ,picard ext.,5.0,106.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",5,6,6,"""Where No One Has Gone Before""",41263.1,Rob Bowman,Diane Duane and Michael Reaves,"October?26,?1987?(1987-10-26)",10.5[1],5,1
3437,3437,60261,"(trying to be pleasant) he is engaged in other duties, sir...",riker,5.0,106.txt,"['trying', 'pleasant', 'He', 'engaged', 'duties', 'sir']","['tri', 'pleasant', 'He', 'engag', 'duti', 'sir']","['tri', 'pleasant', 'He', 'engag', 'duti', 'sir']",6.0,0.5106,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",5,6,6,"""Where No One Has Gone Before""",41263.1,Rob Bowman,Diane Duane and Michael Reaves,"October?26,?1987?(1987-10-26)",10.5[1],5,1
